sku,Barcode,name,qty
FEED-TOMI-004B,2704872311008694,Tommee Tippee Feeding Spoon Mix 2 (Isi 2),4
FEED-TOMI-004C,2704872311008695,Tommee Tippee Feeding Spoon Mix 3 (Isi 2),0
FEED-TOMI-004D,2704872311008696,Tommee Tippee Feeding Spoon Mix 4 (Isi 2),8
FEED-TOMI-004E,2704872311008697,Tommee Tippee Feeding Spoon Mix 5 (Isi 2),0
FEED-TOMI-004F,2704872311008698,Tommee Tippee Feeding Spoon Mix 6 (Isi 2),4
FEED-TOMI-005A,2704872311008699,Tommee Tippee Heat Sensor Spoon 2012 Biru-Hijau (Isi 2),8
FEED-TOMI-006A,2704872311008702,Tommee Tippee Pop Up Freezer Pot & Tray,6
FEED-TOMI-007A,2704872311008703,Tommee Tippee Cool and Mesh Weaning Bowl Orange,28
FEED-TOMI-007B,2704872311008704,Tommee Tippee Cool and Mesh Weaning Bowl Hijau,10
FEED-TOMI-008A,2704872311008705,Tommee Tippee Easy Scoop Feeding Bowl Orange,0
FEED-TOMI-008B,2704872311008706,Tommee Tippee Easy Scoop Feeding Bowl Pink,12
FEED-TOMI-009A,2704872311008708,Tommee Tippee Snack 'n Go,6
PACI-TOMI-007B,2704872311010736,Tommee Tippee CTN Soother Holder Pink,6
PACI-TOMI-007A,2704872311010735,Tommee Tippee CTN Soother Holder Biru,10
STER-CROW-001A,2704872311012996,Crown 6 Bottles Electric Steam Sterilizer Yellow,12
STER-CROW-002A,2704872311012998,Crown 3 Bottles Electric Steam Sterilizer,22
STER-CROW-003A,2704872311012999,Crown Multi Function Steam Centre Digital Yellow,36
WARM-CROW-001A,2704872311015286,Crown Bottle Warmer 4 in1,24
WARM-CROW-002A,2704872311015287,Crown Car & Home Baby Bottle Warmer Yellow,8
MONI-CROW-001A,2704872311010090,Crown Digital Baby Monitor,0
COOK-CROW-001A,2704872311007529,"Crown Slow Cooker 1,2 L Blue",10
FEED-CROW-001A,2704872311008382,Crown Wet and Dry Food Processor Yellow,12
STER-CROW-004A,2704872311013001,Crown 6 Bottles Steam Steriliser Classic Pooh Series,2
STER-CROW-005A,2704872311013002,Crown Multi Function Digital Steam 6 Bottle Sterilizer Classic Pooh Series,2
WARM-CROW-003A,2704872311015289,Crown Baby Milk And Food Warmer & Citrus Juicer Winnie The Pooh,0
FEED-TOMI-005B,2704872311008700,Tommee Tippee Heat Sensor Spoon 2012 Orange-Hijau (Isi 2),18
FEED-TOMI-005C,2704872311008701,Tommee Tippee Heat Sensor Spoon 2012 Orange-Biru (Isi 2),18
SEAT-COCO-001A,2704872311011815,Cocolatte Bouncer Pop Monkey,0
FEED-COCO-001A,2704872311008380,Cocolate High Chair Green,0
FEED-COCO-001B,2704872311008381,Cocolate High Chair Red,0
PUMP-MEDE-001A,2704872311011583,Medela Mini Electric Breastpump,74
